workerid,strangedescription,trial_type,actual_utterance,actual_effect_question,name,object_level,gender,num_objects,object,effect,actual_cause,quantifier,rt,cause,response,other_gender,slide_number_in_experiment
1,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Kathleen is describing a normal event?,Alexander,object_low,M,15,bicycles,stopped,Alexander pressed the brakes on  15 bicycles.,short_filler,11121,pressed the brakes on __,yes,F,5
1,,cause_effect_prior,"""All of the comedians laughed.""",Do you think Jack is describing a normal event?,Angela,object_mid,F,15,comedians,laughed,Angela told a joke to  15 comedians.,All,8792,told a joke to __,yes,M,6
1,,cause_effect_prior,"""All of the songs rhymed.""",Do you think Jerry is describing a normal event?,Emily,object_mid,F,15,songs,rhymed,Emily wrote  15 songs.,All,4581,wrote __,yes,M,7
1,Gas tanks will explode if lit on fire.,cause_effect_prior,"""None of the gas tanks exploded.""",Do you think Emily is describing a normal event?,Kenneth,object_high,M,15,gas tanks,exploded,Kenneth lit  15 gas tanks.,None,13779,lit __,no,F,8
1,,cause_effect_prior,"""Some of the balls of tin foil exploded.""",Do you think Ryan is describing a normal event?,Susan,object_mid,F,15,balls of tin foil,exploded,Susan heated up  15 balls of tin foil  in a microwave.,Some,9306,heated up __ in a microwave,yes,M,9
1,,cause_effect_prior,"""Some of the old cars beeped.""",Do you think Ronald is describing a normal event?,Sarah,object_mid,F,15,old cars,beeped,Sarah left the lights on in  15 old cars.,Some,6160,left the lights on in __,yes,M,10
1,,cause_effect_prior,"""Some of the banana peels decomposed.""",Do you think Sandra is describing a normal event?,Mark,object_high,M,15,banana peels,decomposed,Mark put  15 banana peels  in a compost pile for a month.,Some,4784,put __ in a compost pile for a month,yes,F,11
1,,cause_effect_prior,"""Some of the hats blew away.""",Do you think Julie is describing a normal event?,Paul,object_mid,M,15,hats,blew away,Paul left  15 hats  on a table on a windy day.,Some,5046,left __ on a table on a windy day,yes,F,12
1,,cause_effect_prior,"""All of the cd-players lit up.""",Do you think Margaret is describing a normal event?,Raymond,object_low,M,15,cd-players,lit up,Raymond pressed the &quotecharon&quotechar button on  15 cd-players.,All,4296,pressed the &quotecharon&quotechar button on __,yes,F,13
1,,cause_effect_prior,"""Doesn&quotechart the dog have its own toys?""",Do you think Justin is describing a normal event?,Jacob,object_mid,M,15,shirts,ripped,Jacob used  15 shirts  as dog toys.,long_filler,8953,used __ as dog toys,yes,M,14
1,Pencils are usually made of wood which doesn&quotechart melt.,cause_effect_prior,"""Some of the pencils melted.""",Do you think Joseph is describing a normal event?,Emma,object_low,F,15,pencils,melted,Emma left  15 pencils  in the hot sun.,Some,14888,left __ in the hot sun,no,M,15
1,,cause_effect_prior,"""Some of the cakes stuck to the wall.""",Do you think David is describing a normal event?,Cynthia,object_mid,F,15,cakes,stuck to the wall,Cynthia threw  15 cakes  against a wall.,Some,4480,threw __ against a wall,yes,M,16
1,It is very improbable for a tossed coin to not land on a flat side.,cause_effect_prior,"""None of the coins landed flat.""",Do you think Samantha is describing a normal event?,Gary,object_high,M,15,coins,landed flat,Gary tossed  15 coins.,None,19461,tossed __,no,F,17
1,,cause_effect_prior,"""Some of the bottles of hand soap froze.""",Do you think Shirley is describing a normal event?,Edward,object_low,M,15,bottles of hand soap,froze,Edward put  15 bottles of hand soap  in the freezer.,Some,7919,put __ in the freezer,yes,F,18
1,Rocks typically do not burn.,cause_effect_prior,"""All of the rocks burnt.""",Do you think Tyler is describing a normal event?,Mary,object_low,F,15,rocks,burnt,Mary threw  15 rocks  into a fire.,All,10490,threw __ into a fire,no,M,19
1,,cause_effect_prior,"""Why always the red?""",Do you think Catherine is describing a normal event?,Gregory,object_high,M,15,white carpets,got stained,Gregory spilled red nail polish on  15 white carpets.,long_filler,5430,spilled red nail polish on __,yes,F,20
1,,cause_effect_prior,"""That looks kind of dangerous.""",Do you think Robert is describing a normal event?,Diane,object_low,F,15,bicyclists,honked,Diane cut off  15 bicyclists.,long_filler,4351,cut off __,yes,M,21
1,,cause_effect_prior,"""Nothing surprising there.""",Do you think Christina is describing a normal event?,Linda,object_mid,F,15,oreos,dissolved,Linda put  15 oreos  in a bucket of water.,short_filler,4176,put __ in a bucket of water,yes,F,22
1,,cause_effect_prior,"""Some of the birthday cards had the letter Z in them.""",Do you think Nicole is describing a normal event?,James,object_low,M,15,birthday cards,had the letter Z in them,James wrote  15 birthday cards.,Some,6488,wrote __,yes,F,23
1,,cause_effect_prior,"""As usual.""",Do you think Matthew is describing a normal event?,Scott,object_low,M,15,webcams,flashed,Scott took a picture with  15 webcams.,short_filler,4917,took a picture with __,yes,M,24
1,,cause_effect_prior,"""Typical.""",Do you think Rachel is describing a normal event?,Jennifer,object_low,F,15,phones,ran out of batteries,Jennifer left  15 phones  on (and unplugged) all day.,short_filler,3955,left __ on (and unplugged) all day,yes,F,25
1,Phone screens are typically reflective.,cause_effect_prior,"""None of the phone screens reflected the sunlight.""",Do you think Jason is describing a normal event?,Andrew,object_low,M,15,phone screens,reflected the sunlight,Andrew placed  15 phone screens  in the sun.,None,16806,placed __ in the sun,no,M,26
1,,cause_effect_prior,"""Pretty normal.""",Do you think Janet is describing a normal event?,Carolyn,object_low,F,15,beads,stuck,Carolyn glued  15 beads  to a piece of paper.,short_filler,5029,glued __ to a piece of paper,yes,F,27
1,,cause_effect_prior,"""Pushing stuff is so much fun.""",Do you think Anthony is describing a normal event?,Stephanie,object_low,F,15,toy cars,rolled,Stephanie pushed  15 toy cars.,long_filler,3439,pushed __,yes,M,28
1,,cause_effect_prior,"""Some of the marbles sank.""",Do you think Heather is describing a normal event?,Patrick,object_high,M,15,marbles,sank,Patrick threw  15 marbles  into a pool.,Some,3024,threw __ into a pool,yes,F,29
1,Sunglasses will break if a car runs over them.,cause_effect_prior,"""None of the sunglasses broke.""",Do you think Brian is describing a normal event?,Eric,object_high,M,15,sunglasses,broke,Eric ran  15 sunglasses  over with a car.,None,12471,ran __ over with a car,no,M,30
1,,cause_effect_prior,"""I wish someone would leave seeds out for me.""",Do you think Benjamin is describing a normal event?,Steven,object_high,M,15,birds,ate the seeds,Steven left seeds out for  15 birds.,long_filler,3478,left seeds out for __,yes,M,31
1,,cause_effect_prior,"""Some of the shelves fell down.""",Do you think Nicholas is describing a normal event?,Laura,object_low,F,15,shelves,fell down,Laura punched  15 shelves.,Some,2695,punched __,yes,M,32
2,,cause_effect_prior,"""Some of the cups sank.""",Do you think Jacob is describing a normal event?,Gregory,object_mid,M,15,cups,sank,Gregory threw  15 cups  into a pool.,Some,9310,threw __ into a pool,yes,M,3
2,they should all land flat,cause_effect_prior,"""Some of the notebooks landed flat.""",Do you think Diane is describing a normal event?,Angela,object_low,F,15,notebooks,landed flat,Angela tossed  15 notebooks.,Some,17589,tossed __,no,F,4
2,,cause_effect_prior,"""Some of the phones flashed.""",Do you think Donna is describing a normal event?,Ruth,object_mid,F,15,phones,flashed,Ruth took a picture with  15 phones.,Some,3123,took a picture with __,yes,F,5
2,no shit they burnt,cause_effect_prior,"""Some of the matches burnt.""",Do you think Ashley is describing a normal event?,Susan,object_high,F,15,matches,burnt,Susan threw  15 matches  into a fire.,Some,8898,threw __ into a fire,no,F,6
2,,cause_effect_prior,"""I should start growing those myself.""",Do you think Thomas is describing a normal event?,Frank,object_low,M,15,strawberries,were green,Frank saw  15 strawberries.,long_filler,3633,saw __,yes,M,7
2,,cause_effect_prior,"""All of the new cars beeped.""",Do you think Shirley is describing a normal event?,Kimberly,object_high,F,15,new cars,beeped,Kimberly left the lights on in  15 new cars.,All,12909,left the lights on in __,yes,F,8
2,,cause_effect_prior,"""None of the boxes broke.""",Do you think Michael is describing a normal event?,Kevin,object_mid,M,15,boxes,broke,Kevin ran  15 boxes  over with a car.,None,3166,ran __ over with a car,yes,M,9
2,,cause_effect_prior,"""All of the flashlights lit up.""",Do you think Jonathan is describing a normal event?,John,object_high,M,15,flashlights,lit up,John pressed the &quotecharon&quotechar button on  15 flashlights.,All,3649,pressed the &quotecharon&quotechar button on __,yes,M,10
2,thati is quite the odd observation,cause_effect_prior,"""None of the birthday cards had the letter Z in them.""",Do you think Catherine is describing a normal event?,Scott,object_low,M,15,birthday cards,had the letter Z in them,Scott wrote  15 birthday cards.,None,9977,wrote __,no,F,11
2,"""the"" red? that sounds off. putting ""the&quotechar in front of an adjective",cause_effect_prior,"""Why always the red?""",Do you think Gary is describing a normal event?,Sarah,object_mid,F,15,white shirts,got stained,Sarah spilled red nail polish on  15 white shirts.,long_filler,17513,spilled red nail polish on __,no,M,12
2,What is typical? I don&quotechart know. Not sure what that is referring too.,cause_effect_prior,"""Typical.""",Do you think Julie is describing a normal event?,Michelle,object_high,F,15,sugar cubes,dissolved,Michelle put  15 sugar cubes  in a bucket of water.,short_filler,17915,put __ in a bucket of water,no,F,13
2,"they dont honk, generally speaking",cause_effect_prior,"""None of the bicyclists honked.""",Do you think Justin is describing a normal event?,Virginia,object_low,F,15,bicyclists,honked,Virginia cut off  15 bicyclists.,None,8841,cut off __,no,M,14
2,,cause_effect_prior,"""None of the sequins stuck.""",Do you think Emma is describing a normal event?,Kathleen,object_mid,F,15,sequins,stuck,Kathleen glued  15 sequins  to a piece of paper.,None,6831,glued __ to a piece of paper,yes,F,15
2,,cause_effect_prior,"""All of the eggs exploded.""",Do you think Rebecca is describing a normal event?,Christina,object_high,F,15,eggs,exploded,Christina heated up  15 eggs  in a microwave.,All,2164,heated up __ in a microwave,yes,F,16
2,they are already stationary,cause_effect_prior,"""None of the bicycles stopped.""",Do you think George is describing a normal event?,Anthony,object_low,M,15,bicycles,stopped,Anthony pressed the brakes on  15 bicycles.,None,9566,pressed the brakes on __,no,M,17
2,"not necessarily reducing trash, just using it better",cause_effect_prior,"""What a great way to reduce trash.""",Do you think Patrick is describing a normal event?,Helen,object_high,F,15,banana peels,decomposed,Helen put  15 banana peels  in a compost pile for a month.,long_filler,11091,put __ in a compost pile for a month,no,M,18
2,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Carol is describing a normal event?,Amy,object_mid,F,15,comedians,laughed,Amy told a joke to  15 comedians.,short_filler,5606,told a joke to __,yes,F,19
2,,cause_effect_prior,"""Doesn&quotechart the dog have its own toys?""",Do you think Donald is describing a normal event?,Joseph,object_high,M,15,books,ripped,Joseph used  15 books  as dog toys.,long_filler,3923,used __ as dog toys,yes,M,20
2,not normal at all for someone to put that stuff in the freezer,cause_effect_prior,"""Pretty normal.""",Do you think Daniel is describing a normal event?,Betty,object_low,F,15,bottles of hand soap,froze,Betty put  15 bottles of hand soap  in the freezer.,short_filler,12293,put __ in the freezer,no,M,21
2,,cause_effect_prior,"""All of the limericks rhymed.""",Do you think Laura is describing a normal event?,Janet,object_high,F,15,limericks,rhymed,Janet wrote  15 limericks.,All,2675,wrote __,yes,F,22
2,,cause_effect_prior,"""Some of the balloons popped.""",Do you think Paul is describing a normal event?,Samantha,object_mid,F,15,balloons,popped,Samantha poked  15 balloons  with a pin.,Some,2721,poked __ with a pin,yes,M,23
2,,cause_effect_prior,"""All of the wheelchairs rolled.""",Do you think Dorothy is describing a normal event?,Ryan,object_high,M,15,wheelchairs,rolled,Ryan pushed  15 wheelchairs.,All,4536,pushed __,yes,F,24
2,,cause_effect_prior,"""Some of the birds ate the seeds.""",Do you think Timothy is describing a normal event?,Steven,object_high,M,15,birds,ate the seeds,Steven left seeds out for  15 birds.,Some,4362,left seeds out for __,yes,M,25
2,,cause_effect_prior,"""As usual.""",Do you think Melissa is describing a normal event?,Heather,object_high,F,15,napkins,blew away,Heather left  15 napkins  on a table on a windy day.,short_filler,4713,left __ on a table on a windy day,yes,F,26
2,,cause_effect_prior,"""Some of the card towers fell down.""",Do you think Joshua is describing a normal event?,Brenda,object_high,F,15,card towers,fell down,Brenda punched  15 card towers.,Some,3926,punched __,yes,M,27
2,,cause_effect_prior,"""Some of the cakes stuck to the wall.""",Do you think Sandra is describing a normal event?,Lisa,object_mid,F,15,cakes,stuck to the wall,Lisa threw  15 cakes  against a wall.,Some,6520,threw __ against a wall,yes,F,28
2,has nothing to do with the crayons.,cause_effect_prior,"""It&quotechars a beautiful day.""",Do you think Nancy is describing a normal event?,Cynthia,object_mid,F,15,crayons,melted,Cynthia left  15 crayons  in the hot sun.,long_filler,9608,left __ in the hot sun,no,F,29
2,,cause_effect_prior,"""Some of the bike lights ran out of batteries.""",Do you think Jason is describing a normal event?,Tyler,object_mid,M,15,bike lights,ran out of batteries,Tyler left  15 bike lights  on (and unplugged) all day.,Some,6006,left __ on (and unplugged) all day,yes,M,30
2,,cause_effect_prior,"""Some of the mirrors reflected the sunlight.""",Do you think Samuel is describing a normal event?,Anna,object_high,F,15,mirrors,reflected the sunlight,Anna placed  15 mirrors  in the sun.,Some,2403,placed __ in the sun,yes,M,31
2,confused. doesnt make sense given the context,cause_effect_prior,"""Nothing surprising there.""",Do you think Jeffrey is describing a normal event?,David,object_low,M,15,candles,exploded,David lit  15 candles.,short_filler,13245,lit __,no,M,32
3,,cause_effect_prior,"""Some of the laptops ran out of batteries.""",Do you think Catherine is describing a normal event?,Emily,object_high,F,15,laptops,ran out of batteries,Emily left  15 laptops  on (and unplugged) all day.,Some,10389,left __ on (and unplugged) all day,yes,F,3
3,,cause_effect_prior,"""As usual.""",Do you think Laura is describing a normal event?,Ronald,object_mid,M,15,bus drivers,honked,Ronald cut off  15 bus drivers.,short_filler,7323,cut off __,yes,F,4
3,,cause_effect_prior,"""All of the bottles of hand soap froze.""",Do you think Joyce is describing a normal event?,Jason,object_low,M,15,bottles of hand soap,froze,Jason put  15 bottles of hand soap  in the freezer.,All,4692,put __ in the freezer,yes,F,5
3,,cause_effect_prior,"""Pretty normal.""",Do you think Jonathan is describing a normal event?,Kenneth,object_high,M,15,coins,landed flat,Kenneth tossed  15 coins.,short_filler,3496,tossed __,yes,M,6
3,Because the polish should have stained the shirts.,cause_effect_prior,"""None of the white shirts got stained.""",Do you think Alexander is describing a normal event?,Eric,object_mid,M,15,white shirts,got stained,Eric spilled red nail polish on  15 white shirts.,None,25011,spilled red nail polish on __,no,M,7
3,,cause_effect_prior,"""All of the boxes broke.""",Do you think Carol is describing a normal event?,Justin,object_mid,M,15,boxes,broke,Justin ran  15 boxes  over with a car.,All,4291,ran __ over with a car,yes,F,8
3,,cause_effect_prior,"""All of the limericks rhymed.""",Do you think Jerry is describing a normal event?,Virginia,object_high,F,15,limericks,rhymed,Virginia wrote  15 limericks.,All,3522,wrote __,yes,M,9
3,Carots do not dissolve in water.,cause_effect_prior,"""All of the carrots dissolved.""",Do you think Elizabeth is describing a normal event?,Diane,object_low,F,15,carrots,dissolved,Diane put  15 carrots  in a bucket of water.,All,13052,put __ in a bucket of water,no,F,10
3,,cause_effect_prior,"""Typical.""",Do you think Emily is describing a normal event?,Cynthia,object_mid,F,15,shirts,ripped,Cynthia used  15 shirts  as dog toys.,short_filler,3948,used __ as dog toys,yes,F,11
3,,cause_effect_prior,"""Nothing surprising there.""",Do you think Ryan is describing a normal event?,Paul,object_mid,M,15,shopping carts,rolled,Paul pushed  15 shopping carts.,short_filler,2851,pushed __,yes,M,12
3,,cause_effect_prior,"""It&quotechars just fun to throw stuff in the water.""",Do you think Jeffrey is describing a normal event?,Donald,object_high,M,15,marbles,sank,Donald threw  15 marbles  into a pool.,long_filler,5022,threw __ into a pool,yes,M,13
3,,cause_effect_prior,"""Some of the butterflies ate the seeds.""",Do you think Emma is describing a normal event?,Dorothy,object_mid,F,15,butterflies,ate the seeds,Dorothy left seeds out for  15 butterflies.,Some,3733,left seeds out for __,yes,F,14
3,Houses do not beep.,cause_effect_prior,"""Some of the houses beeped.""",Do you think Jack is describing a normal event?,Rachel,object_low,F,15,houses,beeped,Rachel left the lights on in  15 houses.,Some,48643,left the lights on in __,no,M,15
3,,cause_effect_prior,"""I should start growing those myself.""",Do you think James is describing a normal event?,Daniel,object_low,M,15,strawberries,were green,Daniel saw  15 strawberries.,long_filler,4888,saw __,yes,M,16
3,,cause_effect_prior,"""None of the candles exploded.""",Do you think Donna is describing a normal event?,Sandra,object_low,F,15,candles,exploded,Sandra lit  15 candles.,None,2922,lit __,yes,F,17
3,All should have melted.,cause_effect_prior,"""Some of the ice cubes melted.""",Do you think Scott is describing a normal event?,Shirley,object_high,F,15,ice cubes,melted,Shirley left  15 ice cubes  in the hot sun.,Some,14093,left __ in the hot sun,no,M,18
3,,cause_effect_prior,"""Why not just take them inside?""",Do you think Kevin is describing a normal event?,Rebecca,object_low,F,15,phone screens,reflected the sunlight,Rebecca placed  15 phone screens  in the sun.,long_filler,4901,placed __ in the sun,yes,M,19
3,Cans do not decompose.,cause_effect_prior,"""Some of the soda cans decomposed.""",Do you think Benjamin is describing a normal event?,Sharon,object_low,F,15,soda cans,decomposed,Sharon put  15 soda cans  in a compost pile for a month.,Some,10068,put __ in a compost pile for a month,no,M,20
3,Books do burn.,cause_effect_prior,"""None of the books burnt.""",Do you think Joseph is describing a normal event?,Brandon,object_mid,M,15,books,burnt,Brandon threw  15 books  into a fire.,None,14125,threw __ into a fire,no,M,21
3,,cause_effect_prior,"""Some of the pieces of gum stuck to the wall.""",Do you think Susan is describing a normal event?,Linda,object_high,F,15,pieces of gum,stuck to the wall,Linda threw  15 pieces of gum  against a wall.,Some,4073,threw __ against a wall,yes,F,22
3,,cause_effect_prior,"""All of the balls of tin foil exploded.""",Do you think Ruth is describing a normal event?,Matthew,object_mid,M,15,balls of tin foil,exploded,Matthew heated up  15 balls of tin foil  in a microwave.,All,2901,heated up __ in a microwave,yes,F,23
3,Napkins should get blown by wind.,cause_effect_prior,"""None of the napkins blew away.""",Do you think Gregory is describing a normal event?,Samantha,object_high,F,15,napkins,blew away,Samantha left  15 napkins  on a table on a windy day.,None,21465,left __ on a table on a windy day,no,M,24
3,It is easy to pop a balloon with a pin.,cause_effect_prior,"""That requires a lot of concentration.""",Do you think Christina is describing a normal event?,Richard,object_mid,M,15,balloons,popped,Richard poked  15 balloons  with a pin.,long_filler,15760,poked __ with a pin,no,F,25
3,,cause_effect_prior,"""Some of the bicycles stopped.""",Do you think Robert is describing a normal event?,Edward,object_low,M,15,bicycles,stopped,Edward pressed the brakes on  15 bicycles.,Some,3534,pressed the brakes on __,yes,M,26
3,,cause_effect_prior,"""None of the cd-players lit up.""",Do you think Brian is describing a normal event?,George,object_low,M,15,cd-players,lit up,George pressed the &quotecharon&quotechar button on  15 cd-players.,None,4115,pressed the &quotecharon&quotechar button on __,yes,M,27
3,,cause_effect_prior,"""Some people just love destruction.""",Do you think William is describing a normal event?,Anna,object_low,F,15,shelves,fell down,Anna punched  15 shelves.,long_filler,4958,punched __,yes,M,28
3,,cause_effect_prior,"""Some of the beads stuck.""",Do you think Margaret is describing a normal event?,Jacob,object_low,M,15,beads,stuck,Jacob glued  15 beads  to a piece of paper.,Some,4979,glued __ to a piece of paper,yes,F,29
3,,cause_effect_prior,"""Some of the lawyers laughed.""",Do you think Raymond is describing a normal event?,Thomas,object_low,M,15,lawyers,laughed,Thomas told a joke to  15 lawyers.,Some,3294,told a joke to __,yes,M,30
3,A novel is a long piece of literature.  you would think there would be every letter included at least once.,cause_effect_prior,"""Some of the novels had the letter Z in them.""",Do you think Kimberly is describing a normal event?,Timothy,object_high,M,15,novels,had the letter Z in them,Timothy wrote  15 novels.,Some,30212,wrote __,no,F,31
3,,cause_effect_prior,"""Nothing out of the ordinary.""",Do you think Charles is describing a normal event?,Heather,object_low,F,15,webcams,flashed,Heather took a picture with  15 webcams.,short_filler,4059,took a picture with __,yes,M,32
4,People don&quotechart throw cakes against the wall.,cause_effect_prior,"""As usual.""",Do you think Angela is describing a normal event?,Justin,object_mid,M,15,cakes,stuck to the wall,Justin threw  15 cakes  against a wall.,short_filler,16313,threw __ against a wall,no,F,3
4,Some of the fireworks should have exploded,cause_effect_prior,"""None of the fireworks exploded.""",Do you think Jack is describing a normal event?,Shirley,object_mid,F,15,fireworks,exploded,Shirley lit  15 fireworks.,None,11011,lit __,no,M,4
4,the berries should have froze,cause_effect_prior,"""None of the berries froze.""",Do you think Jennifer is describing a normal event?,Samantha,object_high,F,15,berries,froze,Samantha put  15 berries  in the freezer.,None,10711,put __ in the freezer,no,F,5
4,,cause_effect_prior,"""None of the butterflies ate the seeds.""",Do you think Jeffrey is describing a normal event?,Emily,object_mid,F,15,butterflies,ate the seeds,Emily left seeds out for  15 butterflies.,None,3898,left seeds out for __,yes,M,6
4,,cause_effect_prior,"""All of the clovers were green.""",Do you think Emily is describing a normal event?,Benjamin,object_high,M,15,clovers,were green,Benjamin saw  15 clovers.,All,2927,saw __,yes,F,7
4,,cause_effect_prior,"""It looks like a zebra.""",Do you think Heather is describing a normal event?,Frank,object_mid,M,15,sequins,stuck,Frank glued  15 sequins  to a piece of paper.,long_filler,3916,glued __ to a piece of paper,yes,F,8
